QID,link,label,countCountries,countPersons
Q11049480,https://www.wikidata.org/wiki/Q11049480,Guro,1,5
Q1105335,https://www.wikidata.org/wiki/Q1105335,Kastor,1,2
Q11057790,https://www.wikidata.org/wiki/Q11057790,Roch,6,25
Q11059537,https://www.wikidata.org/wiki/Q11059537,Patroclo,1,1
Q11067517,https://www.wikidata.org/wiki/Q11067517,Bela,9,18
Q11074303,https://www.wikidata.org/wiki/Q11074303,Terje,2,70
Q11075327,https://www.wikidata.org/wiki/Q11075327,Gwen,7,52
Q1108516,https://www.wikidata.org/wiki/Q1108516,Kilián,1,1
Q1109407,https://www.wikidata.org/wiki/Q1109407,Joffrey,1,1
Q11113719,https://www.wikidata.org/wiki/Q11113719,Manuel,71,2918
Q1111810,https://www.wikidata.org/wiki/Q1111810,Levi,18,98
Q1112068,https://www.wikidata.org/wiki/Q1112068,Reuven,10,25
Q11122389,https://www.wikidata.org/wiki/Q11122389,Johann,42,6905
Q1113134,https://www.wikidata.org/wiki/Q1113134,Sora,3,17
Q1113937,https://www.wikidata.org/wiki/Q1113937,Clio,2,3
Q1114146,https://www.wikidata.org/wiki/Q1114146,Clara,38,326
Q1115088,https://www.wikidata.org/wiki/Q1115088,Percival,9,42
Q1115415,https://www.wikidata.org/wiki/Q1115415,Kolumba,2,3
Q11161783,https://www.wikidata.org/wiki/Q11161783,Stian,1,27
Q1116634,https://www.wikidata.org/wiki/Q1116634,Danguolė,1,2
Q11166412,https://www.wikidata.org/wiki/Q11166412,Dorte,2,8
Q11166731,https://www.wikidata.org/wiki/Q11166731,Justin,47,712
Q11166789,https://www.wikidata.org/wiki/Q11166789,Justus,14,160
Q11167315,https://www.wikidata.org/wiki/Q11167315,Aarre,2,4
Q11167678,https://www.wikidata.org/wiki/Q11167678,Nathan,35,609
Q1116844,https://www.wikidata.org/wiki/Q1116844,Josto,1,1
Q1116884,https://www.wikidata.org/wiki/Q1116884,Iga,1,2
Q11171132,https://www.wikidata.org/wiki/Q11171132,Čeněk,1,12
Q1119228,https://www.wikidata.org/wiki/Q1119228,Cornelia,15,167
Q11194528,https://www.wikidata.org/wiki/Q11194528,Eirin,1,2
Q1120182,https://www.wikidata.org/wiki/Q1120182,Braulio,12,37
Q1120345,https://www.wikidata.org/wiki/Q1120345,Esma,8,11
Q1120708,https://www.wikidata.org/wiki/Q1120708,Marina,56,493
Q1120768,https://www.wikidata.org/wiki/Q1120768,Venera,6,6
Q11213243,https://www.wikidata.org/wiki/Q11213243,Pickering,1,1
Q11216828,https://www.wikidata.org/wiki/Q11216828,Chika,3,74
Q1122255,https://www.wikidata.org/wiki/Q1122255,Kimi,3,8
Q11227927,https://www.wikidata.org/wiki/Q11227927,KINYA,1,1
Q11230146,https://www.wikidata.org/wiki/Q11230146,Lilou,2,2
Q11239338,https://www.wikidata.org/wiki/Q11239338,Bořek,1,3
Q11247717,https://www.wikidata.org/wiki/Q11247717,Luciana,14,74
Q1124825,https://www.wikidata.org/wiki/Q1124825,John Paul,8,37
Q1125452,https://www.wikidata.org/wiki/Q1125452,Elmo,6,26
Q1125977,https://www.wikidata.org/wiki/Q1125977,Octavio,20,81
Q1126156,https://www.wikidata.org/wiki/Q1126156,Connan,1,1
Q11264166,https://www.wikidata.org/wiki/Q11264166,Lily,35,122
Q1126565,https://www.wikidata.org/wiki/Q1126565,Lochiel,1,1
Q1127708,https://www.wikidata.org/wiki/Q1127708,Constantia,2,2
Q11279730,https://www.wikidata.org/wiki/Q11279730,Kristen,9,81
Q11286521,https://www.wikidata.org/wiki/Q11286521,Izak,7,10
Q1128701,https://www.wikidata.org/wiki/Q1128701,Lehel,5,10
Q11287301,https://www.wikidata.org/wiki/Q11287301,Mildred,10,76
Q1129205,https://www.wikidata.org/wiki/Q1129205,Leona,14,34
Q1129212,https://www.wikidata.org/wiki/Q1129212,Leonarda,2,2
Q1129226,https://www.wikidata.org/wiki/Q1129226,Leontyna,1,1
Q1129251,https://www.wikidata.org/wiki/Q1129251,Leopoldyna,1,1
Q11295890,https://www.wikidata.org/wiki/Q11295890,Arman,8,26
Q1129594,https://www.wikidata.org/wiki/Q1129594,Levente,4,43
Q1130292,https://www.wikidata.org/wiki/Q1130292,Megan,9,137
Q1130594,https://www.wikidata.org/wiki/Q1130594,Agapito,5,13
Q11306992,https://www.wikidata.org/wiki/Q11306992,Teofil,7,42
Q113098,https://www.wikidata.org/wiki/Q113098,Tahir,2,2
Q1132073,https://www.wikidata.org/wiki/Q1132073,Cord,5,24
