,persons_names,isName
557,Michel Baraque,Possible nom
558,Hendrik De Zeine,Possible nom
559,Edouard Manet Argenteuil,Improbable
560,Edouard Manet Chez,Possible nom
561,Manet Chez,Possible nom
562,Amalia Rodriguez,Possible nom
563,Dilly Beurre,Possible nom
564,Louis Nieter,Possible nom
565,Oscar Le Grelle,Possible nom
566,Collard Choulet,Possible nom
567,Gerard Collard Lion,Possible nom
568,Gerard Jacquet Lion,Possible nom
569,Gerard Soltau,Possible nom
570,Jacob Samuel,Possible nom
571,Cava Dei,Possible nom
572,Cava Tirreni,Possible nom
573,Bienvenu Pollet,Possible nom
574,Masson Louis,Possible nom
575,Albert De Vriendt,Possible nom
576,Albrecht Devriendt,Possible nom
577,Baptiste Hayet,Possible nom
578,Hayet Rondou,Possible nom
579,Louise Hayet,Possible nom
580,Maurice De Ramaix,Possible nom
581,Gaston Lafont,Possible nom
582,Isidore Herbiet,Possible nom
583,Paul Viry,Possible nom
584,Ahmed Ait,Possible nom
585,Beni Immel,Possible nom
586,Andre Bing,Possible nom
587,Willy Ley,Possible nom
588,Gustave Snoeck,Possible nom
589,Marcellin De Saegher,Possible nom
590,Kahn Bassompierre,Possible nom
591,Alfred Moitroux,Possible nom
592,Ernest Rousseau James Ensor,Possible nom
593,Julien Dillens,Possible nom
594,Mariette Hannon,Possible nom
595,Ensor Mariettejames,Possible nom
596,Ensor Rousseaujames,Possible nom
597,Alexandra Wysocka,Possible nom
598,Franz Mahutte,Possible nom
599,Horace Van Offel,Possible nom
600,Therese Samain,Possible nom
601,Leon Tournoy,Possible nom
602,Jean Richepin,Possible nom
603,Leon Ronveaux,Possible nom
604,Adeline Arnould Cholet,Possible nom
605,Franz Tenor,Possible nom
606,Jozef Syoen,Possible nom
607,Sole Des,Possible nom
608,Vivier D,Possible nom
609,France Belgique,Improbable
610,Camille D,Possible nom
611,Frans Busschots,Possible nom
612,Franz Busschots,Possible nom
613,Charlie Chaplin,Possible nom
614,Louis De Funes,Possible nom
615,Anatole Abinet,Possible nom
616,Richard Handley,Possible nom
617,Richard Sabca,Possible nom
618,Richard Vivette,Possible nom
619,Richard Vivettte,Possible nom
620,Roger Sommer,Possible nom
621,Tony Severin,Possible nom
622,Jose Orta,Possible nom
623,Hollander Vliegende,Possible nom
624,Marcel Proust,Possible nom
625,Libert Boeynaems,Possible nom
626,Meir Zoo,Possible nom
627,Meir Dokter,Possible nom
628,Meir Anestehsist,Possible nom
629,Antoine Goetseels,Possible nom
630,Leopold Pelgrims,Possible nom
631,Arte Marte,Possible nom
632,Hermans Armement,Improbable
633,Phedre Despres,Possible nom
634,Alfred Kreglinger,Possible nom
635,Charles Vandevelde,Possible nom
636,Alfred Warny,Possible nom
637,Antoine Van Cuyck,Possible nom
638,Edouard Panis,Possible nom
639,Frans Van Cuyck,Possible nom
640,Frans Van Kuyck,Possible nom
641,Gustave Slingeneyer,Possible nom
642,Jacques Van Cuyck,Possible nom
643,Louis Van Cuyck,Possible nom
644,Walter Van Kuyck,Possible nom
645,Olivier Delville,Possible nom
646,Francois Moeremans,Possible nom
647,Petra Camara,Possible nom
648,Leven Loch,Possible nom
649,Rosa Bonheur,Possible nom
650,Octave Falleur,Possible nom
651,Daniel Struyf,Possible nom
652,Francois Struyf,Possible nom
653,Frans Struyf,Possible nom
654,Lienne Sur,Possible nom
655,Godefroid Henry,Possible nom
656,Michel Hock,Possible nom
657,Tallon Ss,Possible nom
658,Tallon Vlaanderen,Possible nom
659,Tallon Vnv,Possible nom
660,Tallon Volk,Possible nom
661,Tallon Zwarte,Possible nom
662,Albertine Brandeis,Possible nom
663,Albertine Brandels,Possible nom
664,Frantz Wittouck,Possible nom
665,Baptist Delbaen,Possible nom
666,Rares Metaux,Possible nom
667,Emile Bulcke,Possible nom
668,Pierre Schul,Possible nom
669,Edouard Joly,Possible nom
670,Louis De Grammont,Possible nom
671,Louis De Gramont,Possible nom
672,Rolande Gramont,Possible nom
673,Adrien Bastin,Possible nom
674,Vital Debrier,Possible nom
675,Bibi Maton,Possible nom
676,Collin Cafe,Possible nom
677,Henri Collin,Possible nom
678,Jules Bufquin,Possible nom
679,Emile Strimelle,Possible nom
680,Joseph Luton,Possible nom
681,Victor Luton,Possible nom
682,Adolphe Francois,Possible nom
683,Edmond Focquet,Possible nom
684,Edmond Foulon,Possible nom
685,Joseph Fourneaux,Possible nom
686,Francois Lodelinsartadolphe,Possible nom
687,Victor Ernest,Possible nom
