,Nom,Employeur,Poste,Rémunéré?,nombreRemuneres,NombreMandats,langue,début,fin,extract_lieux_be
292,,BIN Loenhout Dorp,Co-coördinator,Non rémunéré,,,NL,,,loenhout
293,,Buurtschap Zuidhoek,Bestuurslid,Non rémunéré,,,NL,,,
294,Aerts Freddy,,,,5.0,5.0,NL,,,
295,,Maatschappij Linkerscheldeoever,Bestuurder,Rémunéré,,,NL,,,
296,,Vlaamse Havens NV,Expert,Rémunéré,,,NL,,,
297,,,Ambtenaar,Rémunéré,,,NL,,,
298,,Deurganckdoksluis NV,Bestuurder,Rémunéré,,,NL,,,
299,,Hulpverleningszone Waasland,Postoverste,Rémunéré,,,NL,,,
300,"Aerts Luc, BRECHT",,,,3.0,10.0,NL,,,
301,,Brecht (Gemeente),Burgemeester (titelvoerend Of Wnd.),Rémunéré,,,NL,,,brecht
302,,Brecht (Gemeente),Voorzitter Van De Gemeenteraad,Non rémunéré,,,NL,,,brecht
303,,Autonoom Provinciebedrijf Campus Vesta,Lid Van De Opleidingsraad,Rémunéré,,,NL,,,
304,,Kempens Landschap VZW,Bestuurder,Non rémunéré,,,NL,,,
305,,Politiezone Voorkempen,Lid Van De Politieraad,Non rémunéré,,,NL,,,
306,,Politiezone Voorkempen,Lid Van Het Politiecollege,Non rémunéré,,,NL,,,
307,,Projectvereniging SELAB,Bestuurder,Non rémunéré,,,NL,,,
308,,CD&V Afdeling Brecht,Bestuurslid,Non rémunéré,,,NL,,,brecht
309,,,Advocaat,Rémunéré,,,NL,,,
310,,UNIZO Afdeling Brecht-Overbroek,Bestuurslid,Non rémunéré,,,NL,,,brecht
311,"Aerts Luc, LEUVEN (Wijgmaal)",,,,5.0,7.0,NL,,,
312,,Leuven (Stad),Financieel Beheerder,Rémunéré,,,NL,,,leuven
313,,HELICS,Bestuurder,Rémunéré,,,NL,,,
314,,HELICS,Lid Van Het Directiecomité,Rémunéré,,,NL,,,
315,,Politiezone Leuven,Bijzonder Rekenplichtige,Rémunéré,,,NL,,,leuven
316,,Sociale Dienst Stadspersoneel Leuven VZW,Bestuurder,Non rémunéré,,,NL,,,leuven
317,,Bedrijvencentrum Leuven NV,Bestuurder,Non rémunéré,,,NL,,,leuven
318,,Hulpverleningszone Oost Vlaams-Brabant,Bijzonder Rekenplichtige,Rémunéré,,,NL,,,
319,Aerts Staf,,,,2.0,10.0,NL,,,
320,,Duffel (Gemeente),Schepen,Rémunéré,,,NL,,,duffel
321,,Duffel (Gemeente),Voorzitter Van De Gemeenteraad,Non rémunéré,,,NL,,,duffel
322,,Intercommunale Hooge Maey,Bestuurder,Rémunéré,,,NL,,,
323,,AGB Duffel,Bestuurder,Non rémunéré,,,NL,,,duffel
324,,Scholengemeenschap Anker,Lid Van Een Lokaal Comité,Non rémunéré,,,NL,,,
325,,Scholengemeenschap Anker,Lid Van Het Beheerscomité,Non rémunéré,,,NL,,,
326,,Sint-Norbertus Duffel,Lid Van De Schoolraad,Non rémunéré,,,NL,,,duffel
327,,Groen,Lid Partijraad,Non rémunéré,,,NL,,08/10/2016,
328,,Groen Afdeling Duffel,Bestuurder,Non rémunéré,,,NL,,,duffel
329,,AGB Duffel,Voorzitter Van Het Directiecomité,Non rémunéré,,,NL,,,duffel
330,Aerts Thomas,,,,7.0,9.0,NL,,,
331,,Kontich (Gemeente),Gemeenteraadslid,Rémunéré,,,NL,,,kontich
332,,Kontich (Gemeente),Lid Van Diverse Gemeenteraadscom-missies,Rémunéré,,,NL,,,kontich
333,,IGEAN Dienstverlening,Bestuurder,Rémunéré,,,NL,,,
334,,IGEAN Milieu & Veiligheid,Bestuurder,Rémunéré,,,NL,,,
335,,IGEAN Milieu & Veiligheid,Lid Van Een Adviescommissie,Rémunéré,,,NL,,,
336,,Politiezone HEKLA,Lid Van De Politieraad,Rémunéré,,,NL,,,
337,,,Bediende,Rémunéré,,,NL,,,
338,,AGB Kontich,Bestuurder,Non rémunéré,,,NL,,,kontich
339,,N-VA Kontich-Waarloos,Bestuurder,Non rémunéré,,,NL,,,waarloos||kontich
340,Aerts Werner,,,,3.0,5.0,NL,,,
