ID,name,toponymName,adminName4,adminName2,adminName1,lat,lng,type
2803312,Akkerhoek,Akkerhoek,Lichtervelde,West Flanders Province,Flanders,51.01667,3.13333,Section/lieu-dit
2803311,Akkerhoofd,Akkerhoofd,Hamme,East Flanders Province,Flanders,51.07436,4.17812,Section/lieu-dit
2799847,Akkerstraat,De Akkers,Maaseik,Limburg Province,Flanders,51.0832,5.70448,Section/lieu-dit
2803309,Akkerveke,Akkerveke,Wuustwezel,Antwerp Province,Flanders,51.38333,4.55,Section/lieu-dit
2803308,Akselwal,Akselwal,Oudenaarde,East Flanders Province,Flanders,50.89658,3.63682,Section/lieu-dit
2803308,Akselwalle,Akselwal,Oudenaarde,East Flanders Province,Flanders,50.89658,3.63682,Section/lieu-dit
2803307,Akspoel,Akspoel,Ruiselede,West Flanders Province,Flanders,51.05835,3.41357,Section/lieu-dit
2803305,A l'Assaint,À l'Assaint,Vielsalm,Luxembourg Province,Wallonia,50.3,5.86667,Section/lieu-dit
2803305,À l'Assaint,À l'Assaint,Vielsalm,Luxembourg Province,Wallonia,50.3,5.86667,Section/lieu-dit
2803275,Al'Linguette,Al'Linguette,Saint-Hubert,Luxembourg Province,Wallonia,50.05,5.33333,Section/lieu-dit
2793255,Al'Saute,La Saute,Saint-Hubert,Luxembourg Province,Wallonia,50.03898,5.36216,Section/lieu-dit
2793713,A la Chaire,La Chaïre,Houffalize,Luxembourg Province,Wallonia,50.08333,5.85,Section/lieu-dit
2793713,A la Chaïre,La Chaïre,Houffalize,Luxembourg Province,Wallonia,50.08333,5.85,Section/lieu-dit
2793649,A-la-Fange-Botte,La Fange Botté,Nassogne,Luxembourg Province,Wallonia,50.16746,5.41972,Section/lieu-dit
2793649,A-la-Fange-Botté,La Fange Botté,Nassogne,Luxembourg Province,Wallonia,50.16746,5.41972,Section/lieu-dit
2796715,alan,Halen,Halen,Limburg Province,Flanders,50.94837,5.11096,Commune
2793169,A la Vieille Rochette,La Vieille Rochette,Libin,Luxembourg Province,Wallonia,49.93333,5.25,Section/lieu-dit
2803299,Al Beyoule,Al Bèyoûle,Nassogne,Luxembourg Province,Wallonia,50.16667,5.43333,Section/lieu-dit
2803299,Al Bèyoûle,Al Bèyoûle,Nassogne,Luxembourg Province,Wallonia,50.16667,5.43333,Section/lieu-dit
2803296,Alden-Eijck,Alden Eik,Maaseik,Limburg Province,Flanders,51.10207,5.80551,Section/lieu-dit
2803296,Alden Eik,Alden Eik,Maaseik,Limburg Province,Flanders,51.10207,5.80551,Section/lieu-dit
2803296,Alden-Eyck,Alden Eik,Maaseik,Limburg Province,Flanders,51.10207,5.80551,Section/lieu-dit
2803295,Aldenhof,Aldenhof,Hasselt,Limburg Province,Flanders,50.95,5.28333,Section/lieu-dit
2802955,Aldringen,Aldringen,Burg-Reuland,Liège Province,Wallonia,50.22111,6.02278,Section/lieu-dit
2803073,aleullong,Arlon,Arlon,Luxembourg Province,Wallonia,49.68333,5.81667,Commune
2803429,aleuseuhos,Aarschot,Aarschot,Flemish Brabant Province,Flanders,50.98715,4.83695,Commune
2803293,Alfelaar,Alfelaar,Berlaar,Antwerp Province,Flanders,51.10236,4.66353,Section/lieu-dit
2803291,Alfersteg,Alfersteg,Saint-Vith,Liège Province,Wallonia,50.26012,6.209,Section/lieu-dit
2803290,Al Gloriette,Al Gloriette,Marche-en-Famenne,Luxembourg Province,Wallonia,50.18537,5.43754,Section/lieu-dit
2803289,Al Hesse,Al Hesse,Lierneux,Liège Province,Wallonia,50.27441,5.8498,Section/lieu-dit
2803288,Alhez,Alhez,Bastogne,Luxembourg Province,Wallonia,50.03333,5.81667,Section/lieu-dit
2803287,Alhoumont,Alhoumont,Houffalize,Luxembourg Province,Wallonia,50.11474,5.8171,Section/lieu-dit
2803285,Alken,Alken,Alken,Limburg Province,Flanders,50.87553,5.30558,Commune
2803285,Alkén,Alken,Alken,Limburg Province,Flanders,50.87553,5.30558,Commune
2803283,Allain,Allain,Arrondissement of Tournai,Hainaut Province,Wallonia,50.6,3.4,Section/lieu-dit
2803281,Alle,Alle,Vresse-sur-Semois,Namur Province,Wallonia,49.84119,4.97011,Section/lieu-dit
2803285,Alleke,Alken,Alken,Limburg Province,Flanders,50.87553,5.30558,Commune
2796746,Allemont,Haillemont,Ellezelles,Hainaut Province,Wallonia,50.71248,3.72722,Section/lieu-dit
2803278,Alleur,Alleur,Ans,Liège Province,Wallonia,50.67465,5.51316,Section/lieu-dit
2803277,Allierscheheide,Allierseheide,Lier,Antwerp Province,Flanders,51.15,4.56667,Section/lieu-dit
2803277,Allierseheide,Allierseheide,Lier,Antwerp Province,Flanders,51.15,4.56667,Section/lieu-dit
2803274,Allmuhten,Allmuten,Bullange,Liège Province,Wallonia,50.34384,6.38423,Section/lieu-dit
2803274,Allmuten,Allmuten,Bullange,Liège Province,Wallonia,50.34384,6.38423,Section/lieu-dit
2803274,Allmuthen,Allmuten,Bullange,Liège Province,Wallonia,50.34384,6.38423,Section/lieu-dit
2803273,Almache,Almache,Paliseul,Luxembourg Province,Wallonia,49.86571,5.09821,Section/lieu-dit
2803271,Alnoir,Alnoir,Jemeppe-sur-Sambre,Namur Province,Wallonia,50.46667,4.63333,Section/lieu-dit
